,idCat,nombreCat,nivel1,nivel2,nivel3,tipo_arbol,# codigo,descripcion,folder_id
146,205.0,POLLO ROSTIZADO TRADICIONAL,ALIMENTOS,POLLO ROSTIZADO,POLLO ROSTIZADO,111_arbol,,,data20220913
147,9007.0,CANELA,ALIMENTOS,"SEMILLAS, LEGUMINOSAS, CHILES Y ESPECIES","ESPECIES, CHILES Y CAMARONES SECOS",111_arbol,,,data20220913
148,900.0,CHILE SECO,ALIMENTOS,"SEMILLAS, LEGUMINOSAS, CHILES Y ESPECIES","ESPECIES, CHILES Y CAMARONES SECOS",111_arbol,,,data20220913
149,20.0,ARROZ,ALIMENTOS,"SEMILLAS, LEGUMINOSAS, CHILES Y ESPECIES",SEMILLAS Y LEGUMINOSAS,111_arbol,,,data20220913
150,901.0,FRIJOL,ALIMENTOS,"SEMILLAS, LEGUMINOSAS, CHILES Y ESPECIES",SEMILLAS Y LEGUMINOSAS,111_arbol,,,data20220913
151,902.0,GARBANZA,ALIMENTOS,"SEMILLAS, LEGUMINOSAS, CHILES Y ESPECIES",SEMILLAS Y LEGUMINOSAS,111_arbol,,,data20220913
152,903.0,HABA,ALIMENTOS,"SEMILLAS, LEGUMINOSAS, CHILES Y ESPECIES",SEMILLAS Y LEGUMINOSAS,111_arbol,,,data20220913
153,904.0,LENTEJA,ALIMENTOS,"SEMILLAS, LEGUMINOSAS, CHILES Y ESPECIES",SEMILLAS Y LEGUMINOSAS,111_arbol,,,data20220913
154,2751.0,CREMA LIQUIDA,ARTICULOS DE HIGIENE PERSONAL,ARTICULOS DE HIGIENE PERSONAL,ARTICULOS DE HIGIENE PERSONAL,111_arbol,,,data20220913
155,2752.0,CREMA SOLIDA,ARTICULOS DE HIGIENE PERSONAL,ARTICULOS DE HIGIENE PERSONAL,ARTICULOS DE HIGIENE PERSONAL,111_arbol,,,data20220913
156,2754.0,JABON DE TOCADOR,ARTICULOS DE HIGIENE PERSONAL,ARTICULOS DE HIGIENE PERSONAL,ARTICULOS DE HIGIENE PERSONAL,111_arbol,,,data20220913
157,2766.0,PANTIPROTECTOR,ARTICULOS DE HIGIENE PERSONAL,ARTICULOS DE HIGIENE PERSONAL,ARTICULOS DE HIGIENE PERSONAL,111_arbol,,,data20220913
158,2761.0,SHAMPOO PARA BEBES Y NIÑOS,ARTICULOS DE HIGIENE PERSONAL,ARTICULOS DE HIGIENE PERSONAL,ARTICULOS DE HIGIENE PERSONAL,111_arbol,,,data20220913
159,2765.0,TALCO,ARTICULOS DE HIGIENE PERSONAL,ARTICULOS DE HIGIENE PERSONAL,ARTICULOS DE HIGIENE PERSONAL,111_arbol,,,data20220913
160,2803.0,TOALLA FEMENINA,ARTICULOS DE HIGIENE PERSONAL,ARTICULOS DE HIGIENE PERSONAL,ARTICULOS DE HIGIENE PERSONAL,111_arbol,,,data20220913
161,2804.0,TOALLITA HUMEDA LIMPIADORA,ARTICULOS DE HIGIENE PERSONAL,ARTICULOS DE HIGIENE PERSONAL,ARTICULOS DE HIGIENE PERSONAL,111_arbol,,,data20220913
162,1100.0,BLANQUEADOR,ARTICULOS DE LIMPIEZA Y PARA EL HOGAR,ARTICULOS DE LIMPIEZA Y PARA EL HOGAR,ARTICULOS DE LIMPIEZA Y PARA EL HOGAR,111_arbol,,,data20220913
163,1101.0,DETERGENTE P/ROPA,ARTICULOS DE LIMPIEZA Y PARA EL HOGAR,ARTICULOS DE LIMPIEZA Y PARA EL HOGAR,ARTICULOS DE LIMPIEZA Y PARA EL HOGAR,111_arbol,,,data20220913
164,1102.0,DETERGENTE P/TRASTES,ARTICULOS DE LIMPIEZA Y PARA EL HOGAR,ARTICULOS DE LIMPIEZA Y PARA EL HOGAR,ARTICULOS DE LIMPIEZA Y PARA EL HOGAR,111_arbol,,,data20220913
165,1108.0,DETERGENTE PARA ROPA Y TRASTES,ARTICULOS DE LIMPIEZA Y PARA EL HOGAR,ARTICULOS DE LIMPIEZA Y PARA EL HOGAR,ARTICULOS DE LIMPIEZA Y PARA EL HOGAR,111_arbol,,,data20220913
166,1104.0,INSECTICIDA AEROSOL,ARTICULOS DE LIMPIEZA Y PARA EL HOGAR,ARTICULOS DE LIMPIEZA Y PARA EL HOGAR,ARTICULOS DE LIMPIEZA Y PARA EL HOGAR,111_arbol,,,data20220913
